text,gold_status
Stable atrial fibrillation,ongoing
diabetes remains present,ongoing
Chronic shortness of breath,ongoing
Query pneumonia,ambiguous
History of fever,resolved
osteoporosis 3 years ago,resolved
pneumonia resolved,resolved
osteoporosis worsening,ongoing
nausea 2 months ago,resolved
Query atrial fibrillation,ambiguous
rheumatoid arthritis 3 years ago,resolved
atrial fibrillation resolved,resolved
Concern for chest pain,ambiguous
May have obesity,ambiguous
Symptoms consistent with anemia,ambiguous
seizures well-controlled,ongoing
Recovered from atrial fibrillation,resolved
cough resolved after treatment,resolved
Cannot rule out atrial fibrillation,ambiguous
Without atrial fibrillation,negated
Stable heart failure,ongoing
No history of pulmonary embolism,negated
No signs of coronary artery disease,negated
May have asthma,ambiguous
Chronic edema,ongoing
No active edema,negated
fever no longer present,resolved
Cannot rule out insomnia,ambiguous
stroke 2 months ago,resolved
Rule out pulmonary embolism,ambiguous
seizures previously diagnosed,resolved
rheumatoid arthritis previously diagnosed,resolved
anxiety fully resolved,resolved
pneumonia 3 years ago,resolved
Imaging shows no evidence of chest pain,negated
rheumatoid arthritis negative,negated
insomnia resolved after treatment,resolved
Had heart failure last year,resolved
No known cough,negated
Currently has deep vein thrombosis,ongoing
hypertension fully resolved,resolved
Patient has fever,ongoing
coronary artery disease not improving on current regimen,ongoing
No history of chest pain,negated
No known depression,negated
asthma absent,negated
Active edema,ongoing
h/o osteoporosis,resolved
hypertension in remission,resolved
Free of insomnia,negated
Denies any history of seizures,negated
vertigo controlled on medication,ongoing
pulmonary embolism fully resolved,resolved
cough has resolved,resolved
pulmonary embolism worsening,ongoing
No longer has migraine,resolved
h/o insomnia,resolved
Managed migraine,ongoing
Questionable hypertension,ambiguous
Complains of migraine,ongoing
diabetes ongoing,ongoing
Stable pulmonary embolism,ongoing
coronary artery disease stable,ongoing
Recovered from rheumatoid arthritis,resolved
Active anemia,ongoing
shortness of breath worsening,ongoing
pneumonia -ve,negated
Persistent atrial fibrillation,ongoing
Possible new heart failure,ambiguous
Patient has migraine,ongoing
anxiety no longer present,resolved
Symptoms consistent with fatigue,ambiguous
migraine stable,ongoing
deep vein thrombosis no longer present,resolved
deep vein thrombosis ongoing,ongoing
Atypical presentation of depression,ambiguous
Managed nausea,ongoing
Worsening gout,ongoing
Considering obesity,ambiguous
diabetes continues,ongoing
chest pain since this morning,ongoing
Without asthma,negated
Unlikely but possible atrial fibrillation,ambiguous
Rule out pneumonia,ambiguous
No seizures,negated
Managed edema,ongoing
cough currently present,ongoing
No complaints of rheumatoid arthritis,negated
Chronic headache,ongoing
Stable fever,ongoing
rheumatoid arthritis last year,resolved
Past history of depression,resolved
No signs of fever,negated
Imaging shows no evidence of hypertension,negated
No known hypertension,negated
edema active,ongoing
May have coronary artery disease,ambiguous
Query osteoporosis,ambiguous
obesity active,ongoing
Working diagnosis of insomnia,ambiguous
asthma stable,ongoing
Free of atrial fibrillation,negated
h/o seizures,resolved
rheumatoid arthritis worsening,ongoing
Active fever,ongoing
deep vein thrombosis not improving on current regimen,ongoing
Presenting with migraine,ongoing
pulmonary embolism continues,ongoing
obesity well-controlled,ongoing
heart failure -ve,negated
No complaints of anxiety,negated
seizures for the past 3 days,ongoing
Suspected sepsis,ambiguous
Prior insomnia,resolved
insomnia since this morning,ongoing
? fever,ambiguous
Probable nausea,ambiguous
migraine currently present,ongoing
No signs of atrial fibrillation,negated
Active asthma,ongoing
edema 2 months ago,resolved
coronary artery disease currently present,ongoing
hypertension for the past 3 days,ongoing
Worsening anemia,ongoing
deep vein thrombosis not present,negated
Denies any history of headache,negated
hypertension -ve,negated
Worsening vertigo,ongoing
headache not detected,negated
diabetes cleared 6 months ago,resolved
pulmonary embolism not present,negated
Considering coronary artery disease,ambiguous
Patient has no fatigue,negated
Complains of pulmonary embolism,ongoing
fever not present,negated
sepsis in remission,resolved
insomnia -ve,negated
Possible sepsis,ambiguous
h/o rheumatoid arthritis,resolved
heart failure not improving on current regimen,ongoing
Possible history of atrial fibrillation,ambiguous
Previous episode of sepsis,resolved
No heart failure,negated
Symptoms consistent with asthma,ambiguous
sepsis remains present,ongoing
stroke resolved,resolved
Working diagnosis of fever,ambiguous
Managed fever,ongoing
Recovered from insomnia,resolved
chest pain currently present,ongoing
seizures 3 years ago,resolved
asthma is stable,ongoing
chest pain negative,negated
No evidence of headache,negated
heart failure improving,ongoing
Prior coronary artery disease,resolved
Cannot rule out edema,ambiguous
deep vein thrombosis improving,ongoing
Status post depression,resolved
Atypical presentation of headache,ambiguous
Status post insomnia,resolved
No depression,negated
Currently has gout,ongoing
Rule out migraine,ambiguous
Persistent shortness of breath,ongoing
Had stroke last year,resolved
anemia absent,negated
No longer has headache,resolved
Query diabetes,ambiguous
edema previously diagnosed,resolved
Past history of fatigue,resolved
cough is stable,ongoing
Probable sepsis,ambiguous
headache in the past,resolved
deep vein thrombosis resolved,resolved
Possible history of sepsis,ambiguous
Chronic stroke,ongoing
fatigue remains present,ongoing
pneumonia fully resolved,resolved
Considering sepsis,ambiguous
Considering cough,ambiguous
cough absent,negated
Query depression,ambiguous
Currently has pulmonary embolism,ongoing
Absence of atrial fibrillation,negated
To rule out hypertension,ambiguous
No complaints of cough,negated
asthma not improving on current regimen,ongoing
stroke for the past 3 days,ongoing
Patient has no asthma,negated
vertigo well-controlled,ongoing
osteoporosis for the past 3 days,ongoing
Considering anemia,ambiguous
Presenting with coronary artery disease,ongoing
Suspected diabetes,ambiguous
edema cleared 6 months ago,resolved
diabetes ruled out,negated
coronary artery disease treated successfully,resolved
Without coronary artery disease,negated
pulmonary embolism 2 months ago,resolved
Prior rheumatoid arthritis,resolved
Denies fatigue,negated
Prior osteoporosis,resolved
Could represent cough,ambiguous
Questionable stroke,ambiguous
edema ruled out,negated
Working diagnosis of anemia,ambiguous
Negative for cough,negated
vertigo since this morning,ongoing
Denies asthma,negated
Prior obesity,resolved
? vertigo,ambiguous
coronary artery disease not present,negated
headache worsening,ongoing
Atypical presentation of obesity,ambiguous
anemia -ve,negated
Chronic pneumonia,ongoing
No complaints of atrial fibrillation,negated
Denies any history of deep vein thrombosis,negated
Absence of cough,negated
Denies headache,negated
Stable fatigue,ongoing
hypertension continues,ongoing
History of edema,resolved
No known pneumonia,negated
No evidence of obesity,negated
Past history of osteoporosis,resolved
Denies fever,negated
Absence of depression,negated
headache well-controlled,ongoing
coronary artery disease resolved after treatment,resolved
No active fatigue,negated
stroke ruled out,negated
No complaints of asthma,negated
fever since this morning,ongoing
Negative for anemia,negated
No active anemia,negated
fatigue resolved after treatment,resolved
Persistent cough,ongoing
nausea previously diagnosed,resolved
Patient denies migraine,negated
heart failure ongoing,ongoing
heart failure previously diagnosed,resolved
Atypical presentation of insomnia,ambiguous
hypertension 2 months ago,resolved
Denies any history of shortness of breath,negated
Acute anemia,ongoing
nausea since this morning,ongoing
asthma worsening,ongoing
hypertension active,ongoing
hypertension controlled on medication,ongoing
heart failure 3 years ago,resolved
No history of diabetes,negated
deep vein thrombosis worsening,ongoing
anemia active,ongoing
chest pain -ve,negated
fever not detected,negated
nausea worsening,ongoing
shortness of breath currently present,ongoing
Presenting with seizures,ongoing
No signs of pulmonary embolism,negated
edema absent,negated
s/p treatment for rheumatoid arthritis,resolved
No history of vertigo,negated
Rule out coronary artery disease,ambiguous
Without headache,negated
Does not have insomnia,negated
No history of sepsis,negated
Acute anxiety,ongoing
Probable anxiety,ambiguous
Query insomnia,ambiguous
pulmonary embolism ruled out,negated
cough treated successfully,resolved
Patient has no anxiety,negated
heart failure no longer present,resolved
Currently has hypertension,ongoing
Probable pneumonia,ambiguous
? diabetes,ambiguous
sepsis ruled out,negated
Free of rheumatoid arthritis,negated
hypertension cleared 6 months ago,resolved
Persistent vertigo,ongoing
Without diabetes,negated
atrial fibrillation in remission,resolved
History of shortness of breath,resolved
chest pain previously diagnosed,resolved
anxiety currently present,ongoing
atrial fibrillation negative,negated
Imaging shows no evidence of deep vein thrombosis,negated
Patient denies sepsis,negated
atrial fibrillation stable,ongoing
No active heart failure,negated
Patient has no fever,negated
Previous episode of obesity,resolved
To rule out cough,ambiguous
Could represent fever,ambiguous
anxiety has resolved,resolved
Prior depression,resolved
pneumonia previously diagnosed,resolved
fever is stable,ongoing
Working diagnosis of pneumonia,ambiguous
seizures improving,ongoing
asthma active,ongoing
Possible new hypertension,ambiguous
shortness of breath since this morning,ongoing
Free of seizures,negated
Active shortness of breath,ongoing
heart failure 2 months ago,resolved
fever was treated,resolved
stroke absent,negated
No current fatigue,negated
Unlikely but possible fever,ambiguous
No history of seizures,negated
May have pneumonia,ambiguous
deep vein thrombosis ruled out,negated
Acute gout,ongoing
Questionable anemia,ambiguous
Atypical presentation of heart failure,ambiguous
fever controlled on medication,ongoing
Managed deep vein thrombosis,ongoing
History of diabetes,resolved
No complaints of edema,negated
Negative for pulmonary embolism,negated
Managed asthma,ongoing
Suspected rheumatoid arthritis,ambiguous
shortness of breath was treated,resolved
Atypical presentation of osteoporosis,ambiguous
Absence of sepsis,negated
fever stable,ongoing
No longer has seizures,resolved
Possible osteoporosis,ambiguous
Stable seizures,ongoing
obesity negative,negated
atrial fibrillation for the past 3 days,ongoing
Negative for shortness of breath,negated
cough improving,ongoing
No current headache,negated
Managed hypertension,ongoing
No longer has hypertension,resolved
nausea improving,ongoing
asthma since this morning,ongoing
Previous episode of atrial fibrillation,resolved
Without vertigo,negated
Complains of rheumatoid arthritis,ongoing
insomnia stable,ongoing
Denies any history of coronary artery disease,negated
Free of gout,negated
History of cough,resolved
atrial fibrillation not present,negated
diabetes has resolved,resolved
Currently has fatigue,ongoing
Patient has obesity,ongoing
Rule out rheumatoid arthritis,ambiguous
Patient denies heart failure,negated
Had fatigue last year,resolved
No current edema,negated
heart failure not present,negated
? pneumonia,ambiguous
fever remains present,ongoing
anxiety not present,negated
edema in remission,resolved
cough resolved,resolved
Query hypertension,ambiguous
Concern for migraine,ambiguous
Considering edema,ambiguous
Presenting with anemia,ongoing
May have insomnia,ambiguous
Prior fatigue,resolved
cough since this morning,ongoing
Possible new coronary artery disease,ambiguous
heart failure negative,negated
No current atrial fibrillation,negated
obesity remains present,ongoing
Active pneumonia,ongoing
Unlikely but possible hypertension,ambiguous
Active diabetes,ongoing
edema for the past 3 days,ongoing
sepsis negative,negated
seizures stable,ongoing
Prior cough,resolved
Chronic pulmonary embolism,ongoing
asthma ongoing,ongoing
Managed osteoporosis,ongoing
shortness of breath remains present,ongoing
Patient has no nausea,negated
headache is stable,ongoing
Chronic seizures,ongoing
headache absent,negated
migraine resolved,resolved
Patient denies cough,negated
shortness of breath in remission,resolved
s/p treatment for shortness of breath,resolved
Atypical presentation of fever,ambiguous
vertigo currently present,ongoing
No active cough,negated
depression since this morning,ongoing
deep vein thrombosis cleared 6 months ago,resolved
Prior seizures,resolved
No active migraine,negated
fever cleared 6 months ago,resolved
Status post fever,resolved
anxiety active,ongoing
s/p treatment for pneumonia,resolved
? insomnia,ambiguous
Probable pulmonary embolism,ambiguous
migraine continues,ongoing
diabetes in remission,resolved
Currently has asthma,ongoing
osteoporosis well-controlled,ongoing
nausea continues,ongoing
pulmonary embolism resolved,resolved
Complains of fatigue,ongoing
asthma improving,ongoing
rheumatoid arthritis resolved,resolved
No longer has sepsis,resolved
Without osteoporosis,negated
cough previously diagnosed,resolved
Possible pulmonary embolism,ambiguous
Concern for coronary artery disease,ambiguous
No sepsis,negated
insomnia in the past,resolved
No complaints of deep vein thrombosis,negated
depression previously diagnosed,resolved
Possible new headache,ambiguous
Considering fever,ambiguous
h/o anxiety,resolved
Probable heart failure,ambiguous
Without seizures,negated
Possible anxiety,ambiguous
No history of anxiety,negated
Considering pulmonary embolism,ambiguous
Presenting with shortness of breath,ongoing
No longer has nausea,resolved
atrial fibrillation since this morning,ongoing
History of deep vein thrombosis,resolved
hypertension has resolved,resolved
fatigue worsening,ongoing
Possible new insomnia,ambiguous
stroke last year,resolved
obesity has resolved,resolved
Currently has migraine,ongoing
Considering headache,ambiguous
No current hypertension,negated
Worsening diabetes,ongoing
fatigue is stable,ongoing
edema not improving on current regimen,ongoing
shortness of breath well-controlled,ongoing
May have heart failure,ambiguous
Active deep vein thrombosis,ongoing
fever worsening,ongoing
Unlikely but possible edema,ambiguous
Atypical presentation of anxiety,ambiguous
stroke in remission,resolved
Had shortness of breath last year,resolved
Unlikely but possible deep vein thrombosis,ambiguous
depression treated successfully,resolved
chest pain in remission,resolved
Stable vertigo,ongoing
Possible rheumatoid arthritis,ambiguous
h/o asthma,resolved
No documented cough,negated
Managed anxiety,ongoing
No complaints of fever,negated
Working diagnosis of migraine,ambiguous
s/p treatment for atrial fibrillation,resolved
Active insomnia,ongoing
No pulmonary embolism,negated
depression currently present,ongoing
Previous episode of seizures,resolved
anemia remains present,ongoing
asthma treated successfully,resolved
? heart failure,ambiguous
No current asthma,negated
Persistent pneumonia,ongoing
Denies any history of sepsis,negated
hypertension 3 years ago,resolved
Recovered from anemia,resolved
Probable vertigo,ambiguous
Patient has no heart failure,negated
h/o migraine,resolved
Previous episode of insomnia,resolved
Query fever,ambiguous
Patient has no sepsis,negated
Stable obesity,ongoing
No longer has vertigo,resolved
diabetes negative,negated
Worsening headache,ongoing
heart failure active,ongoing
vertigo improving,ongoing
vertigo is stable,ongoing
Presenting with stroke,ongoing
Acute fever,ongoing
seizures not detected,negated
Suspected fever,ambiguous
Symptoms consistent with diabetes,ambiguous
Absence of headache,negated
fever 2 months ago,resolved
sepsis resolved,resolved
Questionable fever,ambiguous
Concern for diabetes,ambiguous
stroke currently present,ongoing
Suspected fatigue,ambiguous
seizures no longer present,resolved
Negative for pneumonia,negated
pneumonia active,ongoing
Previous episode of migraine,resolved
Questionable headache,ambiguous
Previous episode of depression,resolved
Patient has seizures,ongoing
obesity 3 years ago,resolved
No current depression,negated
shortness of breath fully resolved,resolved
s/p treatment for deep vein thrombosis,resolved
No documented coronary artery disease,negated
Does not have anemia,negated
No known asthma,negated
Concern for shortness of breath,ambiguous
nausea has resolved,resolved
edema fully resolved,resolved
edema improving,ongoing
anxiety resolved after treatment,resolved
No complaints of hypertension,negated
Concern for asthma,ambiguous
gout fully resolved,resolved
Persistent rheumatoid arthritis,ongoing
Stable coronary artery disease,ongoing
Patient has insomnia,ongoing
s/p treatment for chest pain,resolved
pulmonary embolism -ve,negated
Possible vertigo,ambiguous
Absence of shortness of breath,negated
Active obesity,ongoing
Patient has no pneumonia,negated
Worsening cough,ongoing
Denies anxiety,negated
History of migraine,resolved
No evidence of shortness of breath,negated
Status post deep vein thrombosis,resolved
hypertension resolved after treatment,resolved
shortness of breath negative,negated
Persistent fever,ongoing
No known rheumatoid arthritis,negated
anxiety -ve,negated
Negative for deep vein thrombosis,negated
Status post rheumatoid arthritis,resolved
migraine active,ongoing
shortness of breath last year,resolved
Past history of hypertension,resolved
Denies any history of edema,negated
insomnia has resolved,resolved
Recovered from seizures,resolved
Possible chest pain,ambiguous
No history of coronary artery disease,negated
migraine 3 years ago,resolved
Currently has pneumonia,ongoing
chest pain ruled out,negated
Differential includes pulmonary embolism,ambiguous
Patient has diabetes,ongoing
To rule out heart failure,ambiguous
Former chest pain,resolved
No signs of headache,negated
Unlikely but possible seizures,ambiguous
Differential includes asthma,ambiguous
chest pain stable,ongoing
obesity currently present,ongoing
insomnia in remission,resolved
anxiety not improving on current regimen,ongoing
gout negative,negated
migraine resolved after treatment,resolved
Recovered from pulmonary embolism,resolved
seizures fully resolved,resolved
shortness of breath ruled out,negated
No active pneumonia,negated
Absence of edema,negated
seizures continues,ongoing
Without nausea,negated
Recovered from headache,resolved
vertigo last year,resolved
Patient has gout,ongoing
Negative for heart failure,negated
heart failure absent,negated
fever currently present,ongoing
atrial fibrillation absent,negated
Rule out osteoporosis,ambiguous
Suspected obesity,ambiguous
diabetes treated successfully,resolved
Working diagnosis of pulmonary embolism,ambiguous
Persistent headache,ongoing
migraine -ve,negated
Active hypertension,ongoing
deep vein thrombosis active,ongoing
Free of fever,negated
Symptoms consistent with sepsis,ambiguous
pneumonia since this morning,ongoing
migraine in the past,resolved
Previous episode of cough,resolved
headache ongoing,ongoing
diabetes resolved after treatment,resolved
Possible new chest pain,ambiguous
Previous episode of osteoporosis,resolved
History of gout,resolved
To rule out pneumonia,ambiguous
Cannot rule out depression,ambiguous
sepsis ongoing,ongoing
Possible stroke,ambiguous
Cannot rule out anxiety,ambiguous
Past history of vertigo,resolved
chest pain not improving on current regimen,ongoing
shortness of breath resolved after treatment,resolved
Chronic osteoporosis,ongoing
nausea currently present,ongoing
coronary artery disease no longer present,resolved
No signs of anemia,negated
Free of anemia,negated
edema not present,negated
No gout,negated
deep vein thrombosis negative,negated
atrial fibrillation improving,ongoing
pulmonary embolism is stable,ongoing
Denies any history of stroke,negated
insomnia well-controlled,ongoing
Absence of fatigue,negated
May have edema,ambiguous
No documented diabetes,negated
Worsening fever,ongoing
Status post atrial fibrillation,resolved
Possible diabetes,ambiguous
vertigo absent,negated
No longer has coronary artery disease,resolved
No longer has fever,resolved
No documented rheumatoid arthritis,negated
Previous episode of pulmonary embolism,resolved
depression -ve,negated
osteoporosis 2 months ago,resolved
Unlikely but possible migraine,ambiguous
Symptoms consistent with stroke,ambiguous
vertigo active,ongoing
insomnia fully resolved,resolved
osteoporosis active,ongoing
Managed gout,ongoing
Complains of atrial fibrillation,ongoing
Had migraine last year,resolved
Past history of anemia,resolved
rheumatoid arthritis -ve,negated
headache for the past 3 days,ongoing
Questionable fatigue,ambiguous
History of asthma,resolved
No documented sepsis,negated
Denies any history of anemia,negated
Status post diabetes,resolved
No evidence of diabetes,negated
Atypical presentation of rheumatoid arthritis,ambiguous
To rule out headache,ambiguous
Possible history of chest pain,ambiguous
Considering fatigue,ambiguous
Differential includes headache,ambiguous
Stable shortness of breath,ongoing
? seizures,ambiguous
coronary artery disease in remission,resolved
No current anxiety,negated
seizures cleared 6 months ago,resolved
Does not have depression,negated
Presenting with obesity,ongoing
History of pulmonary embolism,resolved
No signs of obesity,negated
s/p treatment for heart failure,resolved
depression not present,negated
Stable asthma,ongoing
To rule out obesity,ambiguous
Unlikely but possible vertigo,ambiguous
Differential includes coronary artery disease,ambiguous
Worsening sepsis,ongoing
Denies any history of anxiety,negated
Had anemia last year,resolved
h/o heart failure,resolved
Possible atrial fibrillation,ambiguous
Currently has anxiety,ongoing
No documented headache,negated
insomnia ruled out,negated
Questionable depression,ambiguous
Patient denies pneumonia,negated
Patient denies atrial fibrillation,negated
osteoporosis resolved after treatment,resolved
Questionable sepsis,ambiguous
Absence of anemia,negated
s/p treatment for nausea,resolved
? osteoporosis,ambiguous
vertigo previously diagnosed,resolved
gout in remission,resolved
sepsis has resolved,resolved
sepsis last year,resolved
Imaging shows no evidence of seizures,negated
No current heart failure,negated
vertigo treated successfully,resolved
Persistent obesity,ongoing
Complains of sepsis,ongoing
coronary artery disease negative,negated
Concern for osteoporosis,ambiguous
Without deep vein thrombosis,negated
Concern for edema,ambiguous
Presenting with vertigo,ongoing
Denies any history of heart failure,negated
Probable anemia,ambiguous
osteoporosis currently present,ongoing
To rule out fatigue,ambiguous
Worsening chest pain,ongoing
Former coronary artery disease,resolved
Patient has no anemia,negated
Differential includes fatigue,ambiguous
hypertension negative,negated
Does not have chest pain,negated
Considering deep vein thrombosis,ambiguous
Persistent hypertension,ongoing
obesity improving,ongoing
Suspected pulmonary embolism,ambiguous
edema well-controlled,ongoing
Previous episode of diabetes,resolved
Worsening atrial fibrillation,ongoing
fatigue negative,negated
Acute asthma,ongoing
seizures in the past,resolved
migraine ongoing,ongoing
anemia fully resolved,resolved
migraine for the past 3 days,ongoing
Persistent gout,ongoing
Probable diabetes,ambiguous
Differential includes seizures,ambiguous
Worsening nausea,ongoing
No evidence of edema,negated
pneumonia ruled out,negated
Status post anxiety,resolved
sepsis currently present,ongoing
No documented insomnia,negated
depression was treated,resolved
Possible new osteoporosis,ambiguous
Possible history of fever,ambiguous
Previous episode of shortness of breath,resolved
Working diagnosis of deep vein thrombosis,ambiguous
Worsening pulmonary embolism,ongoing
Symptoms consistent with coronary artery disease,ambiguous
stroke well-controlled,ongoing
coronary artery disease continues,ongoing
No atrial fibrillation,negated
Status post cough,resolved
Complains of edema,ongoing
Possible new fatigue,ambiguous
No signs of insomnia,negated
Unlikely but possible nausea,ambiguous
Unlikely but possible anemia,ambiguous
Recovered from fatigue,resolved
fatigue ongoing,ongoing
vertigo 3 years ago,resolved
coronary artery disease controlled on medication,ongoing
pneumonia ongoing,ongoing
Atypical presentation of migraine,ambiguous
headache has resolved,resolved
Previous episode of deep vein thrombosis,resolved
headache stable,ongoing
Rule out edema,ambiguous
Complains of seizures,ongoing
Query pulmonary embolism,ambiguous
? edema,ambiguous
Stable hypertension,ongoing
Possible seizures,ambiguous
shortness of breath 3 years ago,resolved
No evidence of osteoporosis,negated
No longer has diabetes,resolved
Denies any history of cough,negated
Patient has no rheumatoid arthritis,negated
insomnia resolved,resolved
Worsening pneumonia,ongoing
May have sepsis,ambiguous
obesity not improving on current regimen,ongoing
Complains of hypertension,ongoing
Recovered from cough,resolved
No evidence of vertigo,negated
anemia last year,resolved
Recovered from obesity,resolved
obesity since this morning,ongoing
Persistent seizures,ongoing
s/p treatment for cough,resolved
obesity worsening,ongoing
pulmonary embolism not improving on current regimen,ongoing
Absence of rheumatoid arthritis,negated
s/p treatment for fatigue,resolved
History of vertigo,resolved
gout worsening,ongoing
Cannot rule out pulmonary embolism,ambiguous
No signs of anxiety,negated
Chronic asthma,ongoing
Absence of migraine,negated
No complaints of sepsis,negated
Working diagnosis of rheumatoid arthritis,ambiguous
chest pain is stable,ongoing
Probable stroke,ambiguous
Prior stroke,resolved
May have fever,ambiguous
Does not have gout,negated
shortness of breath ongoing,ongoing
Persistent nausea,ongoing
fatigue last year,resolved
asthma in the past,resolved
depression in the past,resolved
Absence of stroke,negated
Cannot rule out stroke,ambiguous
vertigo 2 months ago,resolved
No complaints of pulmonary embolism,negated
Could represent seizures,ambiguous
Recovered from gout,resolved
Former diabetes,resolved
Chronic deep vein thrombosis,ongoing
pulmonary embolism currently present,ongoing
atrial fibrillation worsening,ongoing
Prior sepsis,resolved
Had cough last year,resolved
Differential includes anxiety,ambiguous
